context_id,house,seed,update_id,status,reason,physical_stops,npz_path,npz_sha256,bank_source,components,accepted,min_c_eff_eigenvalue
H01_seed0_update0001,H01,0,1,VALID,LOSO_COMPONENT_DISAGREE,4,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0001.npz,a3b30e60a53760e3f8cd330c899a555b6a414d39e730f0f5d80301bf1c68aaa9,streamed_rebuild,50,False,0.2504382009702463
H01_seed0_update0002,H01,0,2,VALID,ACCEPT,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0002.npz,6f6eea9d244c0717ab10c5a65713f905de5fc64602d301a41bc3e993ab81e9ce,streamed_rebuild,30,True,0.25033042410771694
H01_seed0_update0003,H01,0,3,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0003.npz,fb9a8be347ae53475adb3359fe01d1b9d3c192a3120dedc86f4e57a361554f45,streamed_rebuild,60,False,0.2503067780781732
H01_seed0_update0004,H01,0,4,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0004.npz,44b549f0052ca79e62fbb6c1990b034b3cc5ec7bac949aa55c8cbbf30eed4583,streamed_rebuild,27,False,0.2501783589749463
H01_seed0_update0005,H01,0,5,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0005.npz,6fd5350bcb8dabf648157a3dbf8a3d20fd112f64e17e32103133475f79309e20,streamed_rebuild,29,False,0.2501761014347442
H01_seed1_update0001,H01,1,1,VALID,LOSO_COMPONENT_DISAGREE,4,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0001.npz,369577c51c74b1e57e007eb0c53afda842bed2096cf6340524551072696e40f9,streamed_rebuild,50,False,0.25043083458343324
H01_seed1_update0002,H01,1,2,VALID,HELDOUT_RIVAL_CONTRADICTION,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0002.npz,681c11fbadff866fada3d0b241957e6fd869aa828738422341407d3a38e2a426,streamed_rebuild,45,False,0.2505797705175365
H01_seed1_update0003,H01,1,3,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0003.npz,25c5274e1de8b7910ddc604b89354539ba4dcc174d6e6d6ae63d84e246a18334,streamed_rebuild,60,False,0.25049600104987263
H01_seed1_update0004,H01,1,4,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0004.npz,a6ab9deab3fe5acaa3b4134d89254f4d57495045af42c72659dac6b88c4e1987,streamed_rebuild,25,False,0.2501802192599342
H01_seed1_update0005,H01,1,5,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0005.npz,8f8d9aef5a2c79c64a656cf343b5a56135266c04b5d8d5e4c49100aa2e2e27e2,streamed_rebuild,38,False,0.25048898305509665
H01_seed2_update0001,H01,2,1,VALID,LOSO_COMPONENT_DISAGREE,4,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0001.npz,9bbce8f4887297cab74b2769ac72b1bb720cadee02e22cd188a8e985cd0f5a34,streamed_rebuild,50,False,0.25042386064091154
H01_seed2_update0002,H01,2,2,VALID,HELDOUT_RIVAL_CONTRADICTION,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0002.npz,be6d9f5a3a2d0cf2af46f4bdfbf9ac3fe44bb592790e146a6b77a6626b540292,streamed_rebuild,67,False,0.25045936123089935
H01_seed2_update0003,H01,2,3,VALID,INSUFFICIENT_INFORMATIVE_HELDOUT,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0003.npz,064b27cf7deb25fe508509f082ecc2342c4c5b5a020e6a420cce5a1e93ec24f3,streamed_rebuild,62,False,0.2504681758595771
H01_seed2_update0004,H01,2,4,VALID,INSUFFICIENT_INFORMATIVE_HELDOUT,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0004.npz,a2f3beb4065107b91fcd1deb3e6c48084c3b467f2eef92c8df0592882b3232c7,streamed_rebuild,53,False,0.25040714576463696
H01_seed2_update0005,H01,2,5,VALID,LOSO_COMPONENT_DISAGREE,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0005.npz,ac15579a6e6427ee6f8a42e5fa05627e605b38be1c6b3f69e5f0f9746ac03a6e,streamed_rebuild,39,False,0.2507739135127421
H01_seed3_update0001,H01,3,1,VALID,LOSO_COMPONENT_DISAGREE,4,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed3_update0001.npz,f2750e65e5d3ed1812cf2856dba734a12090299608f99520766bd05f720ba868,streamed_rebuild,50,False,0.25044440314541394
H01_seed3_update0002,H01,3,2,VALID,ACCEPT,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed3_update0002.npz,4233c4f6e2bc1d20273edb763cc6acf9b003f0f986e63e62c3428eb5c6f7f043,streamed_rebuild,48,True,0.25072952101998697
H01_seed3_update0003,H01,3,3,VALID,HELDOUT_RIVAL_CONTRADICTION,3,/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed3_update0003.npz,9c2d77cfd9accb92e3ca22afaf68030cfd81faf5207c2b1c436e283952f71cd0,streamed_rebuild,47,False,0.2505249872428733
