path,context_id,house,seed,update_id,timesteps,sources,members,physical_stops,components,resolved_edges,unresolved_edges,min_c_eff_eigenvalue,accepted,reason,selected_component,informative_heldout,min_absolute_gain,min_rival_margin,member_loo_pass
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0001.npz,H01_seed0_update0001,H01,0,1,200,210,8,4,50,209,442,0.2504382009702463,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0002.npz,H01_seed0_update0002,H01,0,2,200,210,8,3,30,190,461,0.25033042410771694,True,ACCEPT,0,3,0.17875694105968312,0.003496572234262061,True
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0003.npz,H01_seed0_update0003,H01,0,3,200,210,8,3,60,281,370,0.2503067780781732,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0004.npz,H01_seed0_update0004,H01,0,4,200,210,8,3,27,107,544,0.2501783589749463,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed0_update0005.npz,H01_seed0_update0005,H01,0,5,200,210,8,3,29,118,533,0.2501761014347442,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0001.npz,H01_seed1_update0001,H01,1,1,200,210,8,4,50,206,445,0.25043083458343324,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0002.npz,H01_seed1_update0002,H01,1,2,200,210,8,3,45,209,442,0.2505797705175365,False,HELDOUT_RIVAL_CONTRADICTION,0,2,0.17853132133869043,-0.0012995741428123084,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0003.npz,H01_seed1_update0003,H01,1,3,200,210,8,3,60,285,366,0.25049600104987263,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0004.npz,H01_seed1_update0004,H01,1,4,200,210,8,3,25,105,546,0.2501802192599342,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed1_update0005.npz,H01_seed1_update0005,H01,1,5,200,210,8,3,38,193,458,0.25048898305509665,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0001.npz,H01_seed2_update0001,H01,2,1,200,210,8,4,50,210,441,0.25042386064091154,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0002.npz,H01_seed2_update0002,H01,2,2,200,210,8,3,67,310,341,0.25045936123089935,False,HELDOUT_RIVAL_CONTRADICTION,0,0,0.17976929320069127,-6.160228081157106e-05,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0003.npz,H01_seed2_update0003,H01,2,3,200,210,8,3,62,295,356,0.2504681758595771,False,INSUFFICIENT_INFORMATIVE_HELDOUT,55,1,0.4675129679332837,-1.1102230246251565e-16,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0004.npz,H01_seed2_update0004,H01,2,4,200,210,8,3,53,279,372,0.25040714576463696,False,INSUFFICIENT_INFORMATIVE_HELDOUT,47,1,0.4675129679332837,-1.1102230246251565e-16,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed2_update0005.npz,H01_seed2_update0005,H01,2,5,200,210,8,3,39,214,437,0.2507739135127421,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed3_update0001.npz,H01_seed3_update0001,H01,3,1,200,210,8,4,50,206,445,0.25044440314541394,False,LOSO_COMPONENT_DISAGREE,,0,,,
/home/zyc/V4_TRUTHBLIND_COVERAGE_20260828_R1/contexts/H01_seed3_update0002.npz,H01_seed3_update0002,H01,3,2,200,210,8,3,48,230,421,0.25072952101998697,False,SCORING_MEMBER_LOO_FAIL,0,2,0.17972230163841546,-2.6020852139652106e-18,
